sentence,city,place,day,time
أريد الذهاب إلى bizerte next tuesday soir,bizerte,aéroport,next tuesday,soir
aller à kairouan mercredi après-midi,kairouan,gare,mercredi,après-midi
nemchi bizerte lyoum,bizerte,,lyoum,
aller à hammamet el-lahad sbeh,hammamet,,el-lahad,sbeh
أريد الذهاب إلى hammamet mercredi leyl,hammamet,aéroport,mercredi,leyl
أريد الذهاب إلى tunis lundi asr,tunis,maison,lundi,asr
أريد الذهاب إلى hammamet jeudi now,hammamet,bureau,jeudi,now
khodni men hotel lel hammamet  dhuhr,hammamet,hotel,,dhuhr
nemchi bizerte jeudi après-midi,bizerte,maison,jeudi,après-midi
I need a taxi to kairouan samedi now,kairouan,gare,samedi,now
I need a taxi to sfax el-jemaa après-midi,sfax,,el-jemaa,après-midi
take me from gare to sfax  après-midi,sfax,gare,,après-midi
take me from bureau to monastir el-talata dhuhr,monastir,bureau,el-talata,dhuhr
aller à kairouan samedi asr,kairouan,maison,samedi,asr
I need a taxi to nabeul dimanche matin,nabeul,hotel,dimanche,matin
khodni men gare lel monastir jeudi leyl,monastir,gare,jeudi,leyl
aller à kairouan vendredi matin,kairouan,gare,vendredi,matin
khodni men gare lel sfax next tuesday asr,sfax,gare,next tuesday,asr
khodni men bureau lel kairouan next tuesday leyl,kairouan,bureau,next tuesday,leyl
take me from bureau to hammamet lyoum asr,hammamet,bureau,lyoum,asr
take me from bureau to sousse mercredi,sousse,bureau,mercredi,
take me from aéroport to sfax dimanche dhuhr,sfax,aéroport,dimanche,dhuhr
I need a taxi to kairouan lundi leyl,kairouan,,lundi,leyl
I need a taxi to tunis lundi après-midi,tunis,aéroport,lundi,après-midi
aller à monastir mercredi leyl,monastir,,mercredi,leyl
nemchi kairouan vendredi asr,kairouan,,vendredi,asr
I need a taxi to sfax dimanche leyl,sfax,hotel,dimanche,leyl
take me from aéroport to hammamet lyoum,hammamet,aéroport,lyoum,
aller à sousse vendredi dhuhr,sousse,aéroport,vendredi,dhuhr
nemchi sousse mercredi,sousse,aéroport,mercredi,
take me from  to sfax next tuesday asr,sfax,,next tuesday,asr
I need a taxi to monastir dimanche asr,monastir,gare,dimanche,asr
khodni men hotel lel sfax apres-demain matin,sfax,hotel,apres-demain,matin
I need a taxi to sousse dimanche matin,sousse,aéroport,dimanche,matin
أريد الذهاب إلى hammamet el-jemaa sbeh,hammamet,,el-jemaa,sbeh
I need a taxi to sousse el-jemaa,sousse,bureau,el-jemaa,
aller à sfax,sfax,aéroport,,
nemchi kairouan mercredi après-midi,kairouan,maison,mercredi,après-midi
nemchi bizerte samedi dhuhr,bizerte,maison,samedi,dhuhr
أريد الذهاب إلى monastir mercredi matin,monastir,,mercredi,matin
khodni men bureau lel monastir mercredi,monastir,bureau,mercredi,
khodni men  lel sfax jeudi now,sfax,,jeudi,now
nemchi sfax samedi soir,sfax,aéroport,samedi,soir
I need a taxi to monastir next tuesday now,monastir,hotel,next tuesday,now
take me from bureau to sfax jeudi maghreb,sfax,bureau,jeudi,maghreb
khodni men hotel lel monastir samedi sbeh,monastir,hotel,samedi,sbeh
take me from aéroport to hammamet el-jemaa matin,hammamet,aéroport,el-jemaa,matin
nemchi tunis lyoum maghreb,tunis,hotel,lyoum,maghreb
aller à hammamet mardi asr,hammamet,maison,mardi,asr
I need a taxi to kairouan vendredi soir,kairouan,hotel,vendredi,soir
أريد الذهاب إلى monastir lundi après-midi,monastir,bureau,lundi,après-midi
khodni men hotel lel monastir mercredi dhuhr,monastir,hotel,mercredi,dhuhr
take me from maison to monastir samedi maghreb,monastir,maison,samedi,maghreb
aller à sfax ghodwa,sfax,bureau,ghodwa,
I need a taxi to bizerte el-jemaa après-midi,bizerte,hotel,el-jemaa,après-midi
khodni men hotel lel nabeul  après-midi,nabeul,hotel,,après-midi
aller à hammamet el-lahad leyl,hammamet,bureau,el-lahad,leyl
أريد الذهاب إلى sfax samedi dhuhr,sfax,hotel,samedi,dhuhr
I need a taxi to nabeul mercredi now,nabeul,,mercredi,now
khodni men bureau lel sousse dimanche après-midi,sousse,bureau,dimanche,après-midi
khodni men hotel lel hammamet el-jemaa asr,hammamet,hotel,el-jemaa,asr
take me from maison to kairouan vendredi now,kairouan,maison,vendredi,now
I need a taxi to nabeul mardi dhuhr,nabeul,hotel,mardi,dhuhr
I need a taxi to bizerte el-talata dhuhr,bizerte,hotel,el-talata,dhuhr
aller à kairouan el-talata leyl,kairouan,bureau,el-talata,leyl
أريد الذهاب إلى bizerte jeudi après-midi,bizerte,gare,jeudi,après-midi
أريد الذهاب إلى hammamet lundi après-midi,hammamet,bureau,lundi,après-midi
take me from bureau to hammamet samedi sbeh,hammamet,bureau,samedi,sbeh
I need a taxi to tunis lundi asr,tunis,,lundi,asr
nemchi hammamet vendredi,hammamet,gare,vendredi,
I need a taxi to kairouan samedi now,kairouan,bureau,samedi,now
khodni men hotel lel nabeul apres-demain après-midi,nabeul,hotel,apres-demain,après-midi
aller à kairouan lundi now,kairouan,hotel,lundi,now
I need a taxi to sfax apres-demain now,sfax,maison,apres-demain,now
nemchi kairouan el-talata soir,kairouan,,el-talata,soir
aller à sfax apres-demain après-midi,sfax,gare,apres-demain,après-midi
take me from maison to kairouan lyoum asr,kairouan,maison,lyoum,asr
take me from maison to tunis next tuesday,tunis,maison,next tuesday,
khodni men  lel nabeul lundi leyl,nabeul,,lundi,leyl
nemchi sousse ghodwa soir,sousse,gare,ghodwa,soir
أريد الذهاب إلى nabeul el-lahad leyl,nabeul,aéroport,el-lahad,leyl
أريد الذهاب إلى tunis el-jemaa matin,tunis,bureau,el-jemaa,matin
khodni men gare lel monastir samedi,monastir,gare,samedi,
khodni men maison lel sfax mercredi matin,sfax,maison,mercredi,matin
aller à kairouan el-lahad après-midi,kairouan,gare,el-lahad,après-midi
take me from bureau to nabeul el-talata asr,nabeul,bureau,el-talata,asr
take me from bureau to hammamet apres-demain leyl,hammamet,bureau,apres-demain,leyl
aller à kairouan next tuesday leyl,kairouan,aéroport,next tuesday,leyl
aller à nabeul jeudi dhuhr,nabeul,,jeudi,dhuhr
nemchi bizerte  dhuhr,bizerte,,,dhuhr
khodni men maison lel nabeul ghodwa matin,nabeul,maison,ghodwa,matin
I need a taxi to monastir mardi asr,monastir,hotel,mardi,asr
aller à monastir el-lahad matin,monastir,,el-lahad,matin
aller à nabeul lyoum après-midi,nabeul,,lyoum,après-midi
take me from bureau to bizerte next tuesday asr,bizerte,bureau,next tuesday,asr
I need a taxi to sfax mardi maghreb,sfax,maison,mardi,maghreb
aller à tunis el-jemaa matin,tunis,,el-jemaa,matin
I need a taxi to kairouan mardi now,kairouan,,mardi,now
take me from gare to bizerte vendredi,bizerte,gare,vendredi,
aller à bizerte mardi maghreb,bizerte,,mardi,maghreb
nemchi hammamet dimanche dhuhr,hammamet,,dimanche,dhuhr
I need a taxi to bizerte dimanche après-midi,bizerte,gare,dimanche,après-midi
I need a taxi to tunis vendredi now,tunis,bureau,vendredi,now
I need a taxi to nabeul dimanche soir,nabeul,aéroport,dimanche,soir
khodni men maison lel kairouan el-lahad,kairouan,maison,el-lahad,
I need a taxi to nabeul apres-demain après-midi,nabeul,gare,apres-demain,après-midi
nemchi nabeul mercredi leyl,nabeul,,mercredi,leyl
take me from aéroport to sfax el-lahad soir,sfax,aéroport,el-lahad,soir
take me from hotel to hammamet el-jemaa dhuhr,hammamet,hotel,el-jemaa,dhuhr
nemchi kairouan lundi dhuhr,kairouan,,lundi,dhuhr
take me from aéroport to sfax mardi sbeh,sfax,aéroport,mardi,sbeh
khodni men  lel nabeul jeudi,nabeul,,jeudi,
khodni men gare lel hammamet  asr,hammamet,gare,,asr
take me from  to sfax lyoum après-midi,sfax,,lyoum,après-midi
I need a taxi to nabeul next tuesday sbeh,nabeul,hotel,next tuesday,sbeh
nemchi monastir mercredi,monastir,maison,mercredi,
aller à hammamet el-jemaa asr,hammamet,aéroport,el-jemaa,asr
nemchi monastir  leyl,monastir,aéroport,,leyl
أريد الذهاب إلى sousse dimanche dhuhr,sousse,maison,dimanche,dhuhr
aller à nabeul samedi maghreb,nabeul,aéroport,samedi,maghreb
أريد الذهاب إلى sousse lundi,sousse,maison,lundi,
take me from bureau to monastir  matin,monastir,bureau,,matin
take me from  to sousse samedi dhuhr,sousse,,samedi,dhuhr
aller à sfax el-talata matin,sfax,aéroport,el-talata,matin
nemchi kairouan el-jemaa maghreb,kairouan,hotel,el-jemaa,maghreb
khodni men maison lel nabeul apres-demain asr,nabeul,maison,apres-demain,asr
aller à nabeul  après-midi,nabeul,aéroport,,après-midi
khodni men  lel sousse mercredi après-midi,sousse,,mercredi,après-midi
take me from bureau to kairouan next tuesday après-midi,kairouan,bureau,next tuesday,après-midi
take me from hotel to tunis dimanche dhuhr,tunis,hotel,dimanche,dhuhr
I need a taxi to sousse el-lahad matin,sousse,aéroport,el-lahad,matin
nemchi monastir next tuesday soir,monastir,bureau,next tuesday,soir
aller à bizerte el-lahad matin,bizerte,,el-lahad,matin
khodni men hotel lel monastir dimanche soir,monastir,hotel,dimanche,soir
take me from aéroport to kairouan lundi soir,kairouan,aéroport,lundi,soir
I need a taxi to bizerte apres-demain dhuhr,bizerte,aéroport,apres-demain,dhuhr
I need a taxi to sfax el-jemaa matin,sfax,gare,el-jemaa,matin
take me from maison to bizerte  après-midi,bizerte,maison,,après-midi
أريد الذهاب إلى monastir el-jemaa sbeh,monastir,gare,el-jemaa,sbeh
khodni men  lel hammamet el-talata matin,hammamet,,el-talata,matin
أريد الذهاب إلى monastir vendredi sbeh,monastir,hotel,vendredi,sbeh
nemchi kairouan ghodwa maghreb,kairouan,hotel,ghodwa,maghreb
I need a taxi to tunis vendredi soir,tunis,hotel,vendredi,soir
I need a taxi to bizerte lyoum now,bizerte,maison,lyoum,now
أريد الذهاب إلى sousse el-talata soir,sousse,hotel,el-talata,soir
nemchi sousse jeudi leyl,sousse,aéroport,jeudi,leyl
أريد الذهاب إلى sousse ghodwa soir,sousse,,ghodwa,soir
aller à sousse ghodwa sbeh,sousse,bureau,ghodwa,sbeh
khodni men aéroport lel monastir lyoum now,monastir,aéroport,lyoum,now
take me from bureau to nabeul mardi,nabeul,bureau,mardi,
nemchi hammamet el-lahad sbeh,hammamet,hotel,el-lahad,sbeh
aller à kairouan samedi après-midi,kairouan,hotel,samedi,après-midi
I need a taxi to tunis  maghreb,tunis,aéroport,,maghreb
take me from gare to monastir el-lahad dhuhr,monastir,gare,el-lahad,dhuhr
khodni men maison lel nabeul apres-demain now,nabeul,maison,apres-demain,now
nemchi hammamet next tuesday asr,hammamet,hotel,next tuesday,asr
take me from bureau to bizerte  dhuhr,bizerte,bureau,,dhuhr
أريد الذهاب إلى nabeul samedi après-midi,nabeul,aéroport,samedi,après-midi
khodni men bureau lel tunis mardi soir,tunis,bureau,mardi,soir
khodni men bureau lel nabeul el-lahad leyl,nabeul,bureau,el-lahad,leyl
أريد الذهاب إلى sfax samedi sbeh,sfax,aéroport,samedi,sbeh
aller à sfax jeudi dhuhr,sfax,bureau,jeudi,dhuhr
take me from maison to tunis samedi sbeh,tunis,maison,samedi,sbeh
أريد الذهاب إلى bizerte  dhuhr,bizerte,gare,,dhuhr
take me from  to sfax mardi matin,sfax,,mardi,matin
khodni men gare lel sousse mercredi asr,sousse,gare,mercredi,asr
aller à hammamet mercredi maghreb,hammamet,maison,mercredi,maghreb
nemchi nabeul mercredi maghreb,nabeul,,mercredi,maghreb
aller à hammamet samedi sbeh,hammamet,bureau,samedi,sbeh
take me from hotel to sousse apres-demain après-midi,sousse,hotel,apres-demain,après-midi
nemchi nabeul ghodwa leyl,nabeul,maison,ghodwa,leyl
aller à sousse dimanche soir,sousse,gare,dimanche,soir
nemchi hammamet ghodwa now,hammamet,gare,ghodwa,now
I need a taxi to monastir samedi,monastir,aéroport,samedi,
أريد الذهاب إلى kairouan jeudi now,kairouan,bureau,jeudi,now
I need a taxi to hammamet ghodwa now,hammamet,,ghodwa,now
take me from hotel to hammamet samedi,hammamet,hotel,samedi,
aller à hammamet  soir,hammamet,maison,,soir
take me from  to bizerte lundi leyl,bizerte,,lundi,leyl
take me from gare to tunis lyoum dhuhr,tunis,gare,lyoum,dhuhr
أريد الذهاب إلى sousse apres-demain après-midi,sousse,gare,apres-demain,après-midi
take me from aéroport to sfax el-talata,sfax,aéroport,el-talata,
take me from bureau to sfax lyoum maghreb,sfax,bureau,lyoum,maghreb
أريد الذهاب إلى nabeul next tuesday maghreb,nabeul,gare,next tuesday,maghreb
nemchi sfax vendredi après-midi,sfax,aéroport,vendredi,après-midi
aller à monastir vendredi now,monastir,gare,vendredi,now
I need a taxi to sousse ghodwa matin,sousse,maison,ghodwa,matin
أريد الذهاب إلى monastir samedi asr,monastir,bureau,samedi,asr
aller à bizerte mardi maghreb,bizerte,bureau,mardi,maghreb
I need a taxi to monastir vendredi après-midi,monastir,maison,vendredi,après-midi
take me from bureau to sfax apres-demain leyl,sfax,bureau,apres-demain,leyl
aller à bizerte next tuesday now,bizerte,,next tuesday,now
أريد الذهاب إلى sousse el-lahad matin,sousse,hotel,el-lahad,matin
take me from  to tunis ghodwa leyl,tunis,,ghodwa,leyl
aller à kairouan jeudi leyl,kairouan,bureau,jeudi,leyl
khodni men  lel bizerte mardi leyl,bizerte,,mardi,leyl
أريد الذهاب إلى sousse el-jemaa soir,sousse,maison,el-jemaa,soir
take me from gare to kairouan jeudi soir,kairouan,gare,jeudi,soir
aller à kairouan el-lahad soir,kairouan,,el-lahad,soir
take me from bureau to sfax vendredi dhuhr,sfax,bureau,vendredi,dhuhr
take me from maison to hammamet el-jemaa sbeh,hammamet,maison,el-jemaa,sbeh
take me from hotel to kairouan samedi après-midi,kairouan,hotel,samedi,après-midi
take me from maison to nabeul mercredi soir,nabeul,maison,mercredi,soir
aller à sousse mardi,sousse,,mardi,
I need a taxi to bizerte lyoum,bizerte,bureau,lyoum,
nemchi kairouan samedi now,kairouan,bureau,samedi,now
I need a taxi to sousse lundi sbeh,sousse,hotel,lundi,sbeh
nemchi nabeul lundi soir,nabeul,gare,lundi,soir
aller à sfax apres-demain leyl,sfax,,apres-demain,leyl
أريد الذهاب إلى sousse next tuesday leyl,sousse,,next tuesday,leyl
aller à sfax el-lahad après-midi,sfax,,el-lahad,après-midi
aller à kairouan lyoum après-midi,kairouan,gare,lyoum,après-midi
aller à sfax samedi asr,sfax,maison,samedi,asr
aller à sousse mercredi soir,sousse,gare,mercredi,soir
أريد الذهاب إلى sfax apres-demain matin,sfax,maison,apres-demain,matin
aller à bizerte vendredi now,bizerte,maison,vendredi,now
take me from bureau to monastir jeudi now,monastir,bureau,jeudi,now
aller à sfax vendredi asr,sfax,gare,vendredi,asr
nemchi nabeul el-lahad maghreb,nabeul,hotel,el-lahad,maghreb
I need a taxi to sousse next tuesday leyl,sousse,bureau,next tuesday,leyl
أريد الذهاب إلى monastir dimanche now,monastir,bureau,dimanche,now
nemchi sfax samedi sbeh,sfax,hotel,samedi,sbeh
khodni men  lel sousse dimanche après-midi,sousse,,dimanche,après-midi
I need a taxi to kairouan mercredi sbeh,kairouan,aéroport,mercredi,sbeh
aller à kairouan lundi dhuhr,kairouan,hotel,lundi,dhuhr
I need a taxi to sousse samedi leyl,sousse,bureau,samedi,leyl
aller à hammamet ghodwa,hammamet,hotel,ghodwa,
khodni men aéroport lel kairouan dimanche leyl,kairouan,aéroport,dimanche,leyl
take me from bureau to kairouan apres-demain asr,kairouan,bureau,apres-demain,asr
take me from maison to nabeul ghodwa soir,nabeul,maison,ghodwa,soir
I need a taxi to nabeul jeudi matin,nabeul,aéroport,jeudi,matin
aller à kairouan vendredi après-midi,kairouan,bureau,vendredi,après-midi
I need a taxi to sousse apres-demain dhuhr,sousse,gare,apres-demain,dhuhr
aller à monastir el-talata soir,monastir,aéroport,el-talata,soir
I need a taxi to sfax samedi leyl,sfax,maison,samedi,leyl
nemchi bizerte vendredi leyl,bizerte,,vendredi,leyl
أريد الذهاب إلى sfax el-lahad dhuhr,sfax,bureau,el-lahad,dhuhr
aller à kairouan mercredi sbeh,kairouan,gare,mercredi,sbeh
aller à hammamet apres-demain maghreb,hammamet,aéroport,apres-demain,maghreb
nemchi sfax next tuesday soir,sfax,,next tuesday,soir
I need a taxi to tunis vendredi matin,tunis,aéroport,vendredi,matin
aller à hammamet apres-demain leyl,hammamet,bureau,apres-demain,leyl
take me from  to sfax  soir,sfax,,,soir
khodni men gare lel kairouan jeudi sbeh,kairouan,gare,jeudi,sbeh
aller à sousse el-talata maghreb,sousse,bureau,el-talata,maghreb
nemchi sousse el-talata sbeh,sousse,bureau,el-talata,sbeh
khodni men bureau lel hammamet el-lahad maghreb,hammamet,bureau,el-lahad,maghreb
aller à kairouan  asr,kairouan,aéroport,,asr
nemchi sousse lundi après-midi,sousse,maison,lundi,après-midi
take me from maison to sfax apres-demain matin,sfax,maison,apres-demain,matin
khodni men gare lel kairouan mercredi leyl,kairouan,gare,mercredi,leyl
take me from hotel to sousse mardi soir,sousse,hotel,mardi,soir
أريد الذهاب إلى bizerte dimanche,bizerte,hotel,dimanche,
nemchi sousse lyoum leyl,sousse,bureau,lyoum,leyl
nemchi nabeul lyoum soir,nabeul,,lyoum,soir
nemchi hammamet jeudi matin,hammamet,,jeudi,matin
I need a taxi to tunis jeudi soir,tunis,aéroport,jeudi,soir
khodni men  lel kairouan dimanche leyl,kairouan,,dimanche,leyl
take me from maison to sfax jeudi matin,sfax,maison,jeudi,matin
أريد الذهاب إلى hammamet next tuesday après-midi,hammamet,hotel,next tuesday,après-midi
I need a taxi to nabeul dimanche leyl,nabeul,hotel,dimanche,leyl
nemchi sousse el-jemaa,sousse,maison,el-jemaa,
aller à sfax el-jemaa leyl,sfax,maison,el-jemaa,leyl
take me from gare to nabeul dimanche maghreb,nabeul,gare,dimanche,maghreb
aller à kairouan el-lahad soir,kairouan,bureau,el-lahad,soir
nemchi bizerte el-talata sbeh,bizerte,,el-talata,sbeh
I need a taxi to tunis ghodwa dhuhr,tunis,bureau,ghodwa,dhuhr
khodni men hotel lel monastir el-talata asr,monastir,hotel,el-talata,asr
nemchi bizerte el-lahad dhuhr,bizerte,aéroport,el-lahad,dhuhr
I need a taxi to sfax lundi asr,sfax,,lundi,asr
take me from aéroport to bizerte apres-demain matin,bizerte,aéroport,apres-demain,matin
aller à nabeul ghodwa now,nabeul,bureau,ghodwa,now
nemchi hammamet dimanche now,hammamet,maison,dimanche,now
aller à monastir dimanche maghreb,monastir,,dimanche,maghreb
aller à nabeul lyoum maghreb,nabeul,maison,lyoum,maghreb
khodni men maison lel hammamet dimanche asr,hammamet,maison,dimanche,asr
أريد الذهاب إلى sousse el-lahad now,sousse,,el-lahad,now
I need a taxi to hammamet lundi dhuhr,hammamet,maison,lundi,dhuhr
nemchi tunis samedi asr,tunis,maison,samedi,asr
aller à sfax dimanche now,sfax,,dimanche,now
khodni men  lel nabeul mercredi asr,nabeul,,mercredi,asr
take me from aéroport to tunis vendredi sbeh,tunis,aéroport,vendredi,sbeh
take me from gare to bizerte jeudi asr,bizerte,gare,jeudi,asr
nemchi tunis ghodwa soir,tunis,bureau,ghodwa,soir
khodni men aéroport lel bizerte mercredi,bizerte,aéroport,mercredi,
أريد الذهاب إلى nabeul el-talata asr,nabeul,gare,el-talata,asr
take me from gare to bizerte el-lahad matin,bizerte,gare,el-lahad,matin
aller à sfax,sfax,hotel,,
nemchi bizerte lyoum dhuhr,bizerte,bureau,lyoum,dhuhr
nemchi tunis mercredi now,tunis,,mercredi,now
أريد الذهاب إلى bizerte ghodwa leyl,bizerte,gare,ghodwa,leyl
aller à kairouan samedi leyl,kairouan,bureau,samedi,leyl
nemchi bizerte  matin,bizerte,aéroport,,matin
أريد الذهاب إلى sfax jeudi sbeh,sfax,hotel,jeudi,sbeh
take me from hotel to tunis dimanche leyl,tunis,hotel,dimanche,leyl
I need a taxi to sousse mercredi sbeh,sousse,maison,mercredi,sbeh
I need a taxi to tunis next tuesday sbeh,tunis,maison,next tuesday,sbeh
I need a taxi to hammamet jeudi maghreb,hammamet,bureau,jeudi,maghreb
take me from aéroport to hammamet el-talata soir,hammamet,aéroport,el-talata,soir
أريد الذهاب إلى monastir dimanche après-midi,monastir,gare,dimanche,après-midi
nemchi bizerte mercredi dhuhr,bizerte,maison,mercredi,dhuhr
nemchi hammamet samedi sbeh,hammamet,bureau,samedi,sbeh
nemchi sfax el-jemaa maghreb,sfax,gare,el-jemaa,maghreb
أريد الذهاب إلى tunis el-talata,tunis,aéroport,el-talata,
أريد الذهاب إلى bizerte samedi asr,bizerte,hotel,samedi,asr
nemchi kairouan samedi leyl,kairouan,hotel,samedi,leyl
take me from hotel to sfax el-jemaa asr,sfax,hotel,el-jemaa,asr
nemchi kairouan jeudi après-midi,kairouan,aéroport,jeudi,après-midi
take me from bureau to tunis mardi soir,tunis,bureau,mardi,soir
khodni men maison lel nabeul mercredi,nabeul,maison,mercredi,
nemchi monastir next tuesday maghreb,monastir,,next tuesday,maghreb
nemchi sfax apres-demain dhuhr,sfax,hotel,apres-demain,dhuhr
أريد الذهاب إلى sousse samedi sbeh,sousse,hotel,samedi,sbeh
khodni men maison lel sfax jeudi leyl,sfax,maison,jeudi,leyl
nemchi bizerte lundi leyl,bizerte,bureau,lundi,leyl
I need a taxi to sousse vendredi maghreb,sousse,hotel,vendredi,maghreb
أريد الذهاب إلى sfax el-lahad,sfax,maison,el-lahad,
أريد الذهاب إلى bizerte dimanche maghreb,bizerte,maison,dimanche,maghreb
أريد الذهاب إلى sfax apres-demain soir,sfax,bureau,apres-demain,soir
aller à hammamet el-talata maghreb,hammamet,hotel,el-talata,maghreb
nemchi tunis el-jemaa maghreb,tunis,maison,el-jemaa,maghreb
take me from aéroport to kairouan el-jemaa now,kairouan,aéroport,el-jemaa,now
nemchi nabeul vendredi soir,nabeul,bureau,vendredi,soir
I need a taxi to sfax ghodwa now,sfax,aéroport,ghodwa,now
khodni men gare lel kairouan mercredi après-midi,kairouan,gare,mercredi,après-midi
khodni men aéroport lel monastir mercredi leyl,monastir,aéroport,mercredi,leyl
أريد الذهاب إلى nabeul mardi maghreb,nabeul,gare,mardi,maghreb
aller à tunis samedi asr,tunis,hotel,samedi,asr
khodni men maison lel hammamet mercredi soir,hammamet,maison,mercredi,soir
I need a taxi to hammamet el-lahad dhuhr,hammamet,gare,el-lahad,dhuhr
أريد الذهاب إلى hammamet lundi dhuhr,hammamet,gare,lundi,dhuhr
nemchi monastir mercredi,monastir,,mercredi,
aller à nabeul vendredi dhuhr,nabeul,bureau,vendredi,dhuhr
aller à kairouan mercredi soir,kairouan,hotel,mercredi,soir
أريد الذهاب إلى tunis lundi après-midi,tunis,maison,lundi,après-midi
take me from  to sfax ghodwa matin,sfax,,ghodwa,matin
aller à bizerte lundi leyl,bizerte,gare,lundi,leyl
aller à tunis apres-demain maghreb,tunis,bureau,apres-demain,maghreb
nemchi monastir el-talata asr,monastir,maison,el-talata,asr
I need a taxi to sfax el-lahad après-midi,sfax,gare,el-lahad,après-midi
أريد الذهاب إلى kairouan samedi maghreb,kairouan,,samedi,maghreb
take me from maison to nabeul el-jemaa après-midi,nabeul,maison,el-jemaa,après-midi
khodni men  lel sfax mardi soir,sfax,,mardi,soir
khodni men hotel lel tunis  soir,tunis,hotel,,soir
take me from  to nabeul apres-demain matin,nabeul,,apres-demain,matin
I need a taxi to bizerte  matin,bizerte,aéroport,,matin
take me from bureau to monastir dimanche après-midi,monastir,bureau,dimanche,après-midi
nemchi tunis  dhuhr,tunis,,,dhuhr
I need a taxi to tunis vendredi dhuhr,tunis,maison,vendredi,dhuhr
khodni men bureau lel hammamet mercredi soir,hammamet,bureau,mercredi,soir
أريد الذهاب إلى kairouan mardi maghreb,kairouan,gare,mardi,maghreb
take me from bureau to sousse mercredi leyl,sousse,bureau,mercredi,leyl
khodni men gare lel tunis vendredi,tunis,gare,vendredi,
I need a taxi to hammamet mardi maghreb,hammamet,hotel,mardi,maghreb
nemchi tunis el-jemaa,tunis,,el-jemaa,
take me from  to nabeul vendredi maghreb,nabeul,,vendredi,maghreb
take me from maison to hammamet el-talata matin,hammamet,maison,el-talata,matin
I need a taxi to bizerte el-talata,bizerte,hotel,el-talata,
khodni men hotel lel kairouan next tuesday sbeh,kairouan,hotel,next tuesday,sbeh
أريد الذهاب إلى monastir vendredi soir,monastir,gare,vendredi,soir
أريد الذهاب إلى kairouan dimanche après-midi,kairouan,hotel,dimanche,après-midi
take me from bureau to sousse jeudi maghreb,sousse,bureau,jeudi,maghreb
aller à monastir apres-demain après-midi,monastir,aéroport,apres-demain,après-midi
khodni men bureau lel nabeul mercredi leyl,nabeul,bureau,mercredi,leyl
khodni men hotel lel bizerte lyoum asr,bizerte,hotel,lyoum,asr
take me from maison to sousse mercredi après-midi,sousse,maison,mercredi,après-midi
take me from bureau to hammamet dimanche now,hammamet,bureau,dimanche,now
aller à nabeul samedi après-midi,nabeul,hotel,samedi,après-midi
khodni men aéroport lel kairouan vendredi sbeh,kairouan,aéroport,vendredi,sbeh
khodni men bureau lel monastir lyoum leyl,monastir,bureau,lyoum,leyl
khodni men maison lel hammamet lyoum après-midi,hammamet,maison,lyoum,après-midi
khodni men aéroport lel bizerte el-lahad dhuhr,bizerte,aéroport,el-lahad,dhuhr
aller à kairouan jeudi now,kairouan,aéroport,jeudi,now
take me from bureau to nabeul lundi maghreb,nabeul,bureau,lundi,maghreb
khodni men maison lel bizerte el-lahad leyl,bizerte,maison,el-lahad,leyl
khodni men  lel sousse lundi sbeh,sousse,,lundi,sbeh
aller à hammamet ghodwa sbeh,hammamet,maison,ghodwa,sbeh
take me from maison to sousse dimanche sbeh,sousse,maison,dimanche,sbeh
take me from aéroport to tunis el-talata now,tunis,aéroport,el-talata,now
I need a taxi to tunis jeudi,tunis,maison,jeudi,
aller à nabeul jeudi après-midi,nabeul,hotel,jeudi,après-midi
aller à bizerte mercredi now,bizerte,aéroport,mercredi,now
take me from gare to bizerte el-talata maghreb,bizerte,gare,el-talata,maghreb
aller à sfax samedi leyl,sfax,bureau,samedi,leyl
khodni men maison lel tunis el-lahad après-midi,tunis,maison,el-lahad,après-midi
aller à nabeul el-talata now,nabeul,hotel,el-talata,now
nemchi bizerte ghodwa,bizerte,maison,ghodwa,
nemchi hammamet next tuesday asr,hammamet,hotel,next tuesday,asr
nemchi nabeul ghodwa maghreb,nabeul,,ghodwa,maghreb
aller à bizerte el-lahad now,bizerte,maison,el-lahad,now
nemchi hammamet ghodwa now,hammamet,bureau,ghodwa,now
I need a taxi to kairouan jeudi,kairouan,,jeudi,
aller à bizerte vendredi dhuhr,bizerte,maison,vendredi,dhuhr
khodni men  lel kairouan vendredi,kairouan,,vendredi,
nemchi monastir el-lahad sbeh,monastir,gare,el-lahad,sbeh
khodni men aéroport lel monastir jeudi leyl,monastir,aéroport,jeudi,leyl
take me from maison to sousse next tuesday,sousse,maison,next tuesday,
I need a taxi to tunis jeudi soir,tunis,gare,jeudi,soir
take me from hotel to hammamet samedi now,hammamet,hotel,samedi,now
khodni men hotel lel sfax vendredi matin,sfax,hotel,vendredi,matin
أريد الذهاب إلى hammamet mardi asr,hammamet,bureau,mardi,asr
aller à tunis vendredi dhuhr,tunis,,vendredi,dhuhr
I need a taxi to sfax el-jemaa après-midi,sfax,gare,el-jemaa,après-midi
I need a taxi to sfax lundi now,sfax,gare,lundi,now
khodni men  lel tunis mardi soir,tunis,,mardi,soir
take me from hotel to hammamet jeudi,hammamet,hotel,jeudi,
I need a taxi to sfax samedi après-midi,sfax,hotel,samedi,après-midi
aller à tunis mardi asr,tunis,maison,mardi,asr
أريد الذهاب إلى sousse mercredi matin,sousse,,mercredi,matin
I need a taxi to sfax mardi asr,sfax,,mardi,asr
