sentence,city,place,day,time
aller à sousse next tuesday dhuhr,sousse,maison,next tuesday,dhuhr
I need a taxi to kairouan samedi matin,kairouan,maison,samedi,matin
aller à tunis dimanche maghreb,tunis,bureau,dimanche,maghreb
I need a taxi to sfax apres-demain soir,sfax,bureau,apres-demain,soir
take me from bureau to nabeul dimanche après-midi,nabeul,bureau,dimanche,après-midi
khodni men  lel sousse el-jemaa matin,sousse,,el-jemaa,matin
nemchi sfax el-talata après-midi,sfax,,el-talata,après-midi
khodni men aéroport lel monastir ghodwa leyl,monastir,aéroport,ghodwa,leyl
nemchi kairouan el-jemaa now,kairouan,gare,el-jemaa,now
khodni men aéroport lel kairouan samedi now,kairouan,aéroport,samedi,now
take me from aéroport to sfax vendredi matin,sfax,aéroport,vendredi,matin
take me from aéroport to kairouan mercredi,kairouan,aéroport,mercredi,
khodni men bureau lel sousse mercredi sbeh,sousse,bureau,mercredi,sbeh
I need a taxi to bizerte next tuesday asr,bizerte,maison,next tuesday,asr
take me from maison to hammamet samedi soir,hammamet,maison,samedi,soir
nemchi kairouan apres-demain après-midi,kairouan,bureau,apres-demain,après-midi
aller à monastir next tuesday soir,monastir,bureau,next tuesday,soir
aller à nabeul ghodwa sbeh,nabeul,bureau,ghodwa,sbeh
khodni men aéroport lel sfax mardi asr,sfax,aéroport,mardi,asr
nemchi tunis apres-demain sbeh,tunis,gare,apres-demain,sbeh
aller à monastir ghodwa dhuhr,monastir,gare,ghodwa,dhuhr
khodni men maison lel kairouan  sbeh,kairouan,maison,,sbeh
nemchi monastir vendredi maghreb,monastir,maison,vendredi,maghreb
aller à tunis el-talata asr,tunis,maison,el-talata,asr
nemchi monastir el-jemaa matin,monastir,maison,el-jemaa,matin
أريد الذهاب إلى kairouan apres-demain après-midi,kairouan,bureau,apres-demain,après-midi
أريد الذهاب إلى sfax lundi matin,sfax,,lundi,matin
aller à hammamet mercredi now,hammamet,,mercredi,now
aller à tunis lundi dhuhr,tunis,gare,lundi,dhuhr
I need a taxi to nabeul lyoum après-midi,nabeul,aéroport,lyoum,après-midi
I need a taxi to nabeul lundi now,nabeul,maison,lundi,now
aller à sfax el-talata now,sfax,bureau,el-talata,now
nemchi sfax mercredi,sfax,hotel,mercredi,
أريد الذهاب إلى sfax el-jemaa après-midi,sfax,maison,el-jemaa,après-midi
khodni men  lel hammamet mercredi matin,hammamet,,mercredi,matin
I need a taxi to bizerte mercredi now,bizerte,gare,mercredi,now
nemchi nabeul el-talata,nabeul,hotel,el-talata,
aller à kairouan lundi,kairouan,bureau,lundi,
nemchi sfax  matin,sfax,bureau,,matin
أريد الذهاب إلى bizerte vendredi now,bizerte,,vendredi,now
I need a taxi to sfax el-jemaa matin,sfax,maison,el-jemaa,matin
take me from  to tunis  après-midi,tunis,,,après-midi
I need a taxi to bizerte lyoum sbeh,bizerte,hotel,lyoum,sbeh
أريد الذهاب إلى sfax vendredi,sfax,aéroport,vendredi,
aller à sfax jeudi dhuhr,sfax,bureau,jeudi,dhuhr
I need a taxi to sousse lundi sbeh,sousse,bureau,lundi,sbeh
nemchi sfax next tuesday après-midi,sfax,,next tuesday,après-midi
أريد الذهاب إلى sousse el-talata,sousse,bureau,el-talata,
take me from maison to monastir ghodwa matin,monastir,maison,ghodwa,matin
أريد الذهاب إلى tunis lundi maghreb,tunis,aéroport,lundi,maghreb
أريد الذهاب إلى sfax next tuesday après-midi,sfax,maison,next tuesday,après-midi
أريد الذهاب إلى hammamet samedi après-midi,hammamet,,samedi,après-midi
nemchi nabeul ghodwa soir,nabeul,bureau,ghodwa,soir
khodni men aéroport lel tunis el-talata sbeh,tunis,aéroport,el-talata,sbeh
aller à kairouan dimanche leyl,kairouan,bureau,dimanche,leyl
I need a taxi to monastir el-lahad soir,monastir,maison,el-lahad,soir
khodni men  lel sfax  dhuhr,sfax,,,dhuhr
aller à monastir lundi après-midi,monastir,,lundi,après-midi
aller à tunis  now,tunis,maison,,now
أريد الذهاب إلى sfax el-talata maghreb,sfax,aéroport,el-talata,maghreb
take me from  to monastir vendredi maghreb,monastir,,vendredi,maghreb
I need a taxi to nabeul mardi après-midi,nabeul,hotel,mardi,après-midi
nemchi tunis apres-demain soir,tunis,,apres-demain,soir
nemchi hammamet vendredi sbeh,hammamet,bureau,vendredi,sbeh
I need a taxi to nabeul  now,nabeul,maison,,now
take me from gare to sfax jeudi now,sfax,gare,jeudi,now
أريد الذهاب إلى sfax samedi,sfax,aéroport,samedi,
nemchi hammamet mercredi matin,hammamet,aéroport,mercredi,matin
أريد الذهاب إلى kairouan mercredi sbeh,kairouan,gare,mercredi,sbeh
I need a taxi to hammamet  maghreb,hammamet,maison,,maghreb
aller à tunis next tuesday maghreb,tunis,,next tuesday,maghreb
nemchi bizerte  matin,bizerte,aéroport,,matin
aller à bizerte el-jemaa now,bizerte,gare,el-jemaa,now
أريد الذهاب إلى monastir apres-demain maghreb,monastir,maison,apres-demain,maghreb
nemchi monastir samedi dhuhr,monastir,,samedi,dhuhr
take me from  to sfax el-lahad sbeh,sfax,,el-lahad,sbeh
nemchi tunis el-talata sbeh,tunis,maison,el-talata,sbeh
khodni men bureau lel bizerte,bizerte,bureau,,
khodni men  lel tunis apres-demain dhuhr,tunis,,apres-demain,dhuhr
take me from bureau to kairouan ghodwa dhuhr,kairouan,bureau,ghodwa,dhuhr
aller à nabeul mardi maghreb,nabeul,gare,mardi,maghreb
aller à nabeul el-jemaa now,nabeul,hotel,el-jemaa,now
nemchi nabeul  sbeh,nabeul,hotel,,sbeh
take me from maison to nabeul el-lahad maghreb,nabeul,maison,el-lahad,maghreb
khodni men hotel lel kairouan samedi leyl,kairouan,hotel,samedi,leyl
أريد الذهاب إلى sfax mardi,sfax,hotel,mardi,
أريد الذهاب إلى monastir el-jemaa dhuhr,monastir,bureau,el-jemaa,dhuhr
khodni men aéroport lel sfax lyoum,sfax,aéroport,lyoum,
I need a taxi to sousse lyoum matin,sousse,,lyoum,matin
nemchi tunis el-jemaa now,tunis,bureau,el-jemaa,now
أريد الذهاب إلى bizerte el-lahad sbeh,bizerte,gare,el-lahad,sbeh
khodni men  lel bizerte lundi now,bizerte,,lundi,now
khodni men  lel hammamet el-talata dhuhr,hammamet,,el-talata,dhuhr
aller à sousse mercredi asr,sousse,maison,mercredi,asr
khodni men gare lel monastir  leyl,monastir,gare,,leyl
أريد الذهاب إلى nabeul lyoum asr,nabeul,maison,lyoum,asr
khodni men gare lel monastir lyoum asr,monastir,gare,lyoum,asr
aller à kairouan mardi,kairouan,hotel,mardi,
khodni men  lel sfax jeudi now,sfax,,jeudi,now
nemchi kairouan next tuesday,kairouan,gare,next tuesday,
aller à monastir el-talata maghreb,monastir,hotel,el-talata,maghreb
aller à hammamet  matin,hammamet,bureau,,matin
khodni men gare lel hammamet dimanche asr,hammamet,gare,dimanche,asr
take me from aéroport to sousse jeudi asr,sousse,aéroport,jeudi,asr
khodni men gare lel monastir ghodwa,monastir,gare,ghodwa,
take me from  to kairouan jeudi soir,kairouan,,jeudi,soir
I need a taxi to tunis el-talata sbeh,tunis,aéroport,el-talata,sbeh
nemchi nabeul el-jemaa,nabeul,,el-jemaa,
nemchi monastir dimanche après-midi,monastir,gare,dimanche,après-midi
أريد الذهاب إلى monastir apres-demain leyl,monastir,gare,apres-demain,leyl
nemchi kairouan jeudi now,kairouan,gare,jeudi,now
aller à kairouan mercredi après-midi,kairouan,maison,mercredi,après-midi
aller à nabeul next tuesday,nabeul,aéroport,next tuesday,
I need a taxi to hammamet lundi soir,hammamet,,lundi,soir
take me from aéroport to sousse ghodwa soir,sousse,aéroport,ghodwa,soir
take me from gare to tunis el-lahad après-midi,tunis,gare,el-lahad,après-midi
khodni men hotel lel hammamet lyoum maghreb,hammamet,hotel,lyoum,maghreb
أريد الذهاب إلى sfax jeudi now,sfax,,jeudi,now
khodni men aéroport lel bizerte ghodwa dhuhr,bizerte,aéroport,ghodwa,dhuhr
take me from hotel to nabeul mardi matin,nabeul,hotel,mardi,matin
nemchi bizerte vendredi asr,bizerte,,vendredi,asr
aller à tunis apres-demain dhuhr,tunis,hotel,apres-demain,dhuhr
khodni men maison lel sousse el-talata,sousse,maison,el-talata,
khodni men hotel lel monastir next tuesday asr,monastir,hotel,next tuesday,asr
aller à hammamet el-lahad leyl,hammamet,bureau,el-lahad,leyl
nemchi nabeul vendredi soir,nabeul,,vendredi,soir
take me from aéroport to tunis el-jemaa sbeh,tunis,aéroport,el-jemaa,sbeh
take me from bureau to sousse mercredi sbeh,sousse,bureau,mercredi,sbeh
khodni men bureau lel kairouan apres-demain sbeh,kairouan,bureau,apres-demain,sbeh
take me from hotel to bizerte  sbeh,bizerte,hotel,,sbeh
أريد الذهاب إلى hammamet ghodwa matin,hammamet,hotel,ghodwa,matin
I need a taxi to kairouan dimanche maghreb,kairouan,gare,dimanche,maghreb
khodni men maison lel monastir el-lahad sbeh,monastir,maison,el-lahad,sbeh
take me from aéroport to bizerte ghodwa soir,bizerte,aéroport,ghodwa,soir
nemchi hammamet mardi après-midi,hammamet,gare,mardi,après-midi
take me from hotel to tunis el-jemaa,tunis,hotel,el-jemaa,
take me from  to kairouan  leyl,kairouan,,,leyl
I need a taxi to kairouan  sbeh,kairouan,maison,,sbeh
aller à kairouan samedi leyl,kairouan,bureau,samedi,leyl
أريد الذهاب إلى monastir next tuesday,monastir,gare,next tuesday,
take me from  to sfax el-talata après-midi,sfax,,el-talata,après-midi
aller à bizerte mercredi soir,bizerte,,mercredi,soir
take me from gare to sfax  maghreb,sfax,gare,,maghreb
khodni men hotel lel tunis el-talata dhuhr,tunis,hotel,el-talata,dhuhr
I need a taxi to monastir vendredi now,monastir,gare,vendredi,now
khodni men maison lel sfax,sfax,maison,,
khodni men gare lel nabeul el-jemaa dhuhr,nabeul,gare,el-jemaa,dhuhr
أريد الذهاب إلى kairouan lyoum matin,kairouan,,lyoum,matin
nemchi bizerte el-talata,bizerte,gare,el-talata,
nemchi sfax ghodwa après-midi,sfax,bureau,ghodwa,après-midi
nemchi bizerte next tuesday maghreb,bizerte,maison,next tuesday,maghreb
take me from bureau to monastir el-talata après-midi,monastir,bureau,el-talata,après-midi
أريد الذهاب إلى hammamet mardi sbeh,hammamet,aéroport,mardi,sbeh
I need a taxi to tunis jeudi maghreb,tunis,hotel,jeudi,maghreb
I need a taxi to sfax jeudi maghreb,sfax,,jeudi,maghreb
I need a taxi to hammamet vendredi dhuhr,hammamet,bureau,vendredi,dhuhr
nemchi tunis jeudi now,tunis,gare,jeudi,now
nemchi monastir el-talata asr,monastir,bureau,el-talata,asr
أريد الذهاب إلى bizerte  maghreb,bizerte,aéroport,,maghreb
أريد الذهاب إلى bizerte mercredi,bizerte,hotel,mercredi,
أريد الذهاب إلى tunis jeudi now,tunis,aéroport,jeudi,now
nemchi sousse apres-demain soir,sousse,maison,apres-demain,soir
I need a taxi to sousse mercredi maghreb,sousse,gare,mercredi,maghreb
I need a taxi to sfax el-talata soir,sfax,bureau,el-talata,soir
khodni men maison lel hammamet jeudi matin,hammamet,maison,jeudi,matin
khodni men maison lel monastir mercredi asr,monastir,maison,mercredi,asr
take me from hotel to bizerte el-lahad now,bizerte,hotel,el-lahad,now
I need a taxi to tunis lundi leyl,tunis,,lundi,leyl
take me from maison to hammamet el-talata dhuhr,hammamet,maison,el-talata,dhuhr
aller à hammamet dimanche,hammamet,maison,dimanche,
khodni men aéroport lel hammamet el-talata dhuhr,hammamet,aéroport,el-talata,dhuhr
nemchi tunis next tuesday soir,tunis,maison,next tuesday,soir
take me from  to hammamet lundi dhuhr,hammamet,,lundi,dhuhr
nemchi sousse samedi maghreb,sousse,hotel,samedi,maghreb
nemchi nabeul el-jemaa matin,nabeul,,el-jemaa,matin
aller à sousse lyoum leyl,sousse,hotel,lyoum,leyl
khodni men maison lel sousse lundi matin,sousse,maison,lundi,matin
aller à hammamet lundi soir,hammamet,aéroport,lundi,soir
I need a taxi to monastir apres-demain leyl,monastir,,apres-demain,leyl
take me from hotel to sfax lundi sbeh,sfax,hotel,lundi,sbeh
I need a taxi to bizerte el-talata dhuhr,bizerte,aéroport,el-talata,dhuhr
khodni men maison lel monastir samedi après-midi,monastir,maison,samedi,après-midi
take me from aéroport to monastir lyoum matin,monastir,aéroport,lyoum,matin
أريد الذهاب إلى bizerte dimanche matin,bizerte,maison,dimanche,matin
take me from gare to tunis next tuesday asr,tunis,gare,next tuesday,asr
take me from hotel to nabeul apres-demain dhuhr,nabeul,hotel,apres-demain,dhuhr
I need a taxi to sousse samedi sbeh,sousse,bureau,samedi,sbeh
أريد الذهاب إلى nabeul el-jemaa matin,nabeul,,el-jemaa,matin
take me from bureau to sousse jeudi après-midi,sousse,bureau,jeudi,après-midi
aller à tunis el-lahad sbeh,tunis,maison,el-lahad,sbeh
nemchi sousse dimanche matin,sousse,gare,dimanche,matin
take me from aéroport to kairouan el-lahad now,kairouan,aéroport,el-lahad,now
I need a taxi to nabeul ghodwa après-midi,nabeul,maison,ghodwa,après-midi
nemchi tunis vendredi asr,tunis,aéroport,vendredi,asr
I need a taxi to tunis jeudi asr,tunis,gare,jeudi,asr
I need a taxi to bizerte el-jemaa après-midi,bizerte,hotel,el-jemaa,après-midi
I need a taxi to bizerte dimanche après-midi,bizerte,maison,dimanche,après-midi
take me from  to bizerte mardi now,bizerte,,mardi,now
khodni men bureau lel nabeul lyoum leyl,nabeul,bureau,lyoum,leyl
nemchi kairouan el-lahad après-midi,kairouan,maison,el-lahad,après-midi
khodni men  lel sousse lundi maghreb,sousse,,lundi,maghreb
aller à tunis dimanche après-midi,tunis,gare,dimanche,après-midi
take me from hotel to monastir dimanche dhuhr,monastir,hotel,dimanche,dhuhr
khodni men gare lel sousse el-lahad,sousse,gare,el-lahad,
take me from  to nabeul lundi now,nabeul,,lundi,now
nemchi nabeul mercredi asr,nabeul,maison,mercredi,asr
khodni men maison lel hammamet el-talata dhuhr,hammamet,maison,el-talata,dhuhr
I need a taxi to sousse el-lahad après-midi,sousse,maison,el-lahad,après-midi
أريد الذهاب إلى nabeul next tuesday asr,nabeul,bureau,next tuesday,asr
أريد الذهاب إلى kairouan ghodwa now,kairouan,aéroport,ghodwa,now
khodni men hotel lel hammamet mercredi soir,hammamet,hotel,mercredi,soir
أريد الذهاب إلى nabeul  now,nabeul,aéroport,,now
take me from aéroport to monastir apres-demain matin,monastir,aéroport,apres-demain,matin
I need a taxi to sfax dimanche asr,sfax,gare,dimanche,asr
aller à sfax vendredi dhuhr,sfax,,vendredi,dhuhr
أريد الذهاب إلى sousse lundi dhuhr,sousse,maison,lundi,dhuhr
khodni men hotel lel sousse samedi now,sousse,hotel,samedi,now
أريد الذهاب إلى sousse mardi asr,sousse,,mardi,asr
nemchi hammamet ghodwa après-midi,hammamet,hotel,ghodwa,après-midi
أريد الذهاب إلى nabeul lyoum sbeh,nabeul,aéroport,lyoum,sbeh
take me from bureau to sousse next tuesday,sousse,bureau,next tuesday,
aller à tunis next tuesday dhuhr,tunis,,next tuesday,dhuhr
nemchi tunis lundi maghreb,tunis,aéroport,lundi,maghreb
nemchi monastir vendredi leyl,monastir,hotel,vendredi,leyl
I need a taxi to bizerte apres-demain soir,bizerte,aéroport,apres-demain,soir
aller à monastir dimanche asr,monastir,bureau,dimanche,asr
khodni men aéroport lel bizerte lyoum leyl,bizerte,aéroport,lyoum,leyl
aller à bizerte mercredi,bizerte,gare,mercredi,
take me from aéroport to bizerte el-lahad dhuhr,bizerte,aéroport,el-lahad,dhuhr
أريد الذهاب إلى sfax el-jemaa matin,sfax,,el-jemaa,matin
aller à monastir ghodwa après-midi,monastir,bureau,ghodwa,après-midi
I need a taxi to bizerte el-lahad après-midi,bizerte,gare,el-lahad,après-midi
nemchi bizerte lundi,bizerte,,lundi,
I need a taxi to bizerte el-lahad asr,bizerte,hotel,el-lahad,asr
khodni men gare lel sfax next tuesday now,sfax,gare,next tuesday,now
أريد الذهاب إلى sfax samedi maghreb,sfax,gare,samedi,maghreb
aller à monastir vendredi dhuhr,monastir,,vendredi,dhuhr
nemchi kairouan samedi matin,kairouan,bureau,samedi,matin
aller à kairouan mardi dhuhr,kairouan,bureau,mardi,dhuhr
أريد الذهاب إلى kairouan mardi soir,kairouan,gare,mardi,soir
أريد الذهاب إلى tunis dimanche soir,tunis,maison,dimanche,soir
I need a taxi to nabeul mardi soir,nabeul,maison,mardi,soir
take me from  to kairouan el-jemaa,kairouan,,el-jemaa,
I need a taxi to kairouan dimanche après-midi,kairouan,hotel,dimanche,après-midi
take me from bureau to tunis el-talata maghreb,tunis,bureau,el-talata,maghreb
أريد الذهاب إلى sousse lyoum,sousse,aéroport,lyoum,
I need a taxi to hammamet samedi soir,hammamet,,samedi,soir
aller à hammamet dimanche sbeh,hammamet,hotel,dimanche,sbeh
khodni men gare lel kairouan ghodwa asr,kairouan,gare,ghodwa,asr
take me from maison to hammamet el-jemaa asr,hammamet,maison,el-jemaa,asr
nemchi nabeul mercredi maghreb,nabeul,gare,mercredi,maghreb
aller à sousse mardi dhuhr,sousse,maison,mardi,dhuhr
أريد الذهاب إلى bizerte el-jemaa asr,bizerte,aéroport,el-jemaa,asr
I need a taxi to nabeul el-jemaa après-midi,nabeul,aéroport,el-jemaa,après-midi
aller à bizerte dimanche après-midi,bizerte,,dimanche,après-midi
take me from aéroport to hammamet dimanche maghreb,hammamet,aéroport,dimanche,maghreb
khodni men hotel lel tunis mercredi leyl,tunis,hotel,mercredi,leyl
nemchi sousse lundi sbeh,sousse,aéroport,lundi,sbeh
I need a taxi to kairouan next tuesday asr,kairouan,hotel,next tuesday,asr
nemchi tunis el-jemaa asr,tunis,maison,el-jemaa,asr
aller à monastir samedi now,monastir,hotel,samedi,now
أريد الذهاب إلى kairouan vendredi dhuhr,kairouan,bureau,vendredi,dhuhr
nemchi kairouan jeudi soir,kairouan,bureau,jeudi,soir
khodni men aéroport lel bizerte el-lahad,bizerte,aéroport,el-lahad,
aller à nabeul el-jemaa maghreb,nabeul,bureau,el-jemaa,maghreb
khodni men  lel kairouan el-lahad now,kairouan,,el-lahad,now
nemchi monastir dimanche sbeh,monastir,maison,dimanche,sbeh
I need a taxi to sfax lundi now,sfax,maison,lundi,now
أريد الذهاب إلى monastir next tuesday après-midi,monastir,maison,next tuesday,après-midi
nemchi tunis dimanche matin,tunis,hotel,dimanche,matin
take me from  to sfax mercredi asr,sfax,,mercredi,asr
nemchi hammamet vendredi asr,hammamet,aéroport,vendredi,asr
I need a taxi to sousse mardi sbeh,sousse,bureau,mardi,sbeh
أريد الذهاب إلى tunis jeudi soir,tunis,hotel,jeudi,soir
أريد الذهاب إلى kairouan mardi après-midi,kairouan,hotel,mardi,après-midi
take me from bureau to hammamet apres-demain,hammamet,bureau,apres-demain,
aller à hammamet ghodwa soir,hammamet,hotel,ghodwa,soir
take me from bureau to bizerte dimanche now,bizerte,bureau,dimanche,now
أريد الذهاب إلى nabeul vendredi asr,nabeul,bureau,vendredi,asr
take me from hotel to kairouan jeudi asr,kairouan,hotel,jeudi,asr
I need a taxi to sousse apres-demain soir,sousse,gare,apres-demain,soir
أريد الذهاب إلى tunis el-jemaa soir,tunis,maison,el-jemaa,soir
nemchi tunis el-jemaa now,tunis,hotel,el-jemaa,now
take me from maison to kairouan el-lahad soir,kairouan,maison,el-lahad,soir
take me from hotel to sousse dimanche dhuhr,sousse,hotel,dimanche,dhuhr
aller à kairouan jeudi matin,kairouan,maison,jeudi,matin
nemchi monastir mercredi sbeh,monastir,maison,mercredi,sbeh
aller à kairouan lyoum leyl,kairouan,aéroport,lyoum,leyl
nemchi hammamet vendredi leyl,hammamet,gare,vendredi,leyl
aller à nabeul dimanche maghreb,nabeul,gare,dimanche,maghreb
أريد الذهاب إلى monastir vendredi après-midi,monastir,hotel,vendredi,après-midi
take me from hotel to monastir dimanche sbeh,monastir,hotel,dimanche,sbeh
nemchi kairouan mercredi asr,kairouan,bureau,mercredi,asr
I need a taxi to bizerte el-talata dhuhr,bizerte,gare,el-talata,dhuhr
take me from aéroport to monastir el-jemaa maghreb,monastir,aéroport,el-jemaa,maghreb
I need a taxi to nabeul samedi sbeh,nabeul,maison,samedi,sbeh
take me from gare to nabeul lundi now,nabeul,gare,lundi,now
aller à monastir el-talata now,monastir,aéroport,el-talata,now
khodni men bureau lel sousse el-jemaa,sousse,bureau,el-jemaa,
khodni men aéroport lel hammamet jeudi sbeh,hammamet,aéroport,jeudi,sbeh
take me from gare to hammamet dimanche dhuhr,hammamet,gare,dimanche,dhuhr
nemchi kairouan lyoum now,kairouan,aéroport,lyoum,now
I need a taxi to bizerte ghodwa,bizerte,aéroport,ghodwa,
take me from bureau to sfax  matin,sfax,bureau,,matin
I need a taxi to sousse apres-demain asr,sousse,hotel,apres-demain,asr
khodni men hotel lel sfax lyoum now,sfax,hotel,lyoum,now
أريد الذهاب إلى sfax ghodwa maghreb,sfax,aéroport,ghodwa,maghreb
aller à kairouan lyoum,kairouan,maison,lyoum,
take me from bureau to monastir jeudi sbeh,monastir,bureau,jeudi,sbeh
nemchi hammamet jeudi matin,hammamet,bureau,jeudi,matin
أريد الذهاب إلى bizerte el-lahad dhuhr,bizerte,maison,el-lahad,dhuhr
nemchi tunis lundi asr,tunis,bureau,lundi,asr
I need a taxi to hammamet samedi dhuhr,hammamet,hotel,samedi,dhuhr
أريد الذهاب إلى tunis  leyl,tunis,hotel,,leyl
I need a taxi to hammamet el-talata soir,hammamet,gare,el-talata,soir
I need a taxi to bizerte  asr,bizerte,aéroport,,asr
khodni men maison lel hammamet next tuesday,hammamet,maison,next tuesday,
nemchi sousse  leyl,sousse,maison,,leyl
nemchi tunis el-talata sbeh,tunis,hotel,el-talata,sbeh
أريد الذهاب إلى tunis vendredi maghreb,tunis,hotel,vendredi,maghreb
أريد الذهاب إلى bizerte  maghreb,bizerte,gare,,maghreb
nemchi kairouan el-jemaa matin,kairouan,bureau,el-jemaa,matin
أريد الذهاب إلى bizerte lundi après-midi,bizerte,bureau,lundi,après-midi
take me from hotel to bizerte dimanche dhuhr,bizerte,hotel,dimanche,dhuhr
take me from aéroport to tunis el-lahad soir,tunis,aéroport,el-lahad,soir
aller à sousse vendredi asr,sousse,hotel,vendredi,asr
أريد الذهاب إلى bizerte dimanche,bizerte,gare,dimanche,
I need a taxi to bizerte mardi asr,bizerte,gare,mardi,asr
أريد الذهاب إلى hammamet vendredi now,hammamet,maison,vendredi,now
aller à sfax jeudi dhuhr,sfax,,jeudi,dhuhr
khodni men maison lel hammamet lundi matin,hammamet,maison,lundi,matin
aller à hammamet ghodwa,hammamet,hotel,ghodwa,
I need a taxi to sousse ghodwa,sousse,aéroport,ghodwa,
I need a taxi to nabeul next tuesday,nabeul,maison,next tuesday,
I need a taxi to tunis el-talata sbeh,tunis,hotel,el-talata,sbeh
take me from bureau to sfax mardi,sfax,bureau,mardi,
take me from  to nabeul lundi matin,nabeul,,lundi,matin
take me from bureau to hammamet el-lahad maghreb,hammamet,bureau,el-lahad,maghreb
khodni men  lel tunis mardi sbeh,tunis,,mardi,sbeh
I need a taxi to kairouan ghodwa après-midi,kairouan,,ghodwa,après-midi
take me from aéroport to monastir vendredi now,monastir,aéroport,vendredi,now
I need a taxi to monastir samedi now,monastir,maison,samedi,now
khodni men  lel hammamet dimanche asr,hammamet,,dimanche,asr
I need a taxi to bizerte vendredi asr,bizerte,maison,vendredi,asr
aller à nabeul dimanche asr,nabeul,maison,dimanche,asr
take me from gare to kairouan ghodwa now,kairouan,gare,ghodwa,now
khodni men maison lel nabeul mardi maghreb,nabeul,maison,mardi,maghreb
take me from maison to hammamet samedi,hammamet,maison,samedi,
aller à monastir ghodwa après-midi,monastir,gare,ghodwa,après-midi
I need a taxi to sfax mardi soir,sfax,bureau,mardi,soir
nemchi kairouan next tuesday leyl,kairouan,gare,next tuesday,leyl
nemchi monastir  asr,monastir,maison,,asr
take me from aéroport to tunis mercredi sbeh,tunis,aéroport,mercredi,sbeh
khodni men aéroport lel bizerte  maghreb,bizerte,aéroport,,maghreb
aller à sousse dimanche sbeh,sousse,aéroport,dimanche,sbeh
أريد الذهاب إلى sousse el-talata matin,sousse,maison,el-talata,matin
أريد الذهاب إلى tunis vendredi dhuhr,tunis,aéroport,vendredi,dhuhr
aller à monastir mercredi soir,monastir,maison,mercredi,soir
أريد الذهاب إلى monastir el-lahad sbeh,monastir,aéroport,el-lahad,sbeh
khodni men bureau lel monastir el-jemaa matin,monastir,bureau,el-jemaa,matin
aller à hammamet el-lahad sbeh,hammamet,gare,el-lahad,sbeh
أريد الذهاب إلى bizerte mercredi leyl,bizerte,,mercredi,leyl
nemchi monastir lundi,monastir,,lundi,
khodni men hotel lel bizerte next tuesday maghreb,bizerte,hotel,next tuesday,maghreb
khodni men gare lel hammamet ghodwa now,hammamet,gare,ghodwa,now
nemchi hammamet mardi now,hammamet,hotel,mardi,now
khodni men bureau lel kairouan ghodwa après-midi,kairouan,bureau,ghodwa,après-midi
أريد الذهاب إلى hammamet samedi dhuhr,hammamet,aéroport,samedi,dhuhr
khodni men hotel lel tunis samedi now,tunis,hotel,samedi,now
أريد الذهاب إلى sousse lyoum dhuhr,sousse,hotel,lyoum,dhuhr
take me from bureau to monastir el-jemaa now,monastir,bureau,el-jemaa,now
I need a taxi to nabeul mardi après-midi,nabeul,aéroport,mardi,après-midi
take me from bureau to monastir dimanche dhuhr,monastir,bureau,dimanche,dhuhr
khodni men hotel lel sousse vendredi now,sousse,hotel,vendredi,now
I need a taxi to kairouan mercredi asr,kairouan,bureau,mercredi,asr
أريد الذهاب إلى sfax lyoum maghreb,sfax,hotel,lyoum,maghreb
nemchi kairouan apres-demain soir,kairouan,,apres-demain,soir
أريد الذهاب إلى bizerte next tuesday maghreb,bizerte,hotel,next tuesday,maghreb
take me from  to monastir lyoum asr,monastir,,lyoum,asr
khodni men aéroport lel bizerte mardi soir,bizerte,aéroport,mardi,soir
khodni men hotel lel kairouan dimanche sbeh,kairouan,hotel,dimanche,sbeh
khodni men aéroport lel monastir apres-demain now,monastir,aéroport,apres-demain,now
أريد الذهاب إلى bizerte apres-demain sbeh,bizerte,gare,apres-demain,sbeh
take me from aéroport to kairouan vendredi asr,kairouan,aéroport,vendredi,asr
khodni men bureau lel hammamet apres-demain dhuhr,hammamet,bureau,apres-demain,dhuhr
take me from aéroport to monastir jeudi soir,monastir,aéroport,jeudi,soir
take me from  to bizerte ghodwa asr,bizerte,,ghodwa,asr
nemchi bizerte samedi asr,bizerte,,samedi,asr
أريد الذهاب إلى monastir el-jemaa leyl,monastir,bureau,el-jemaa,leyl
nemchi monastir apres-demain,monastir,,apres-demain,
khodni men hotel lel sousse el-talata asr,sousse,hotel,el-talata,asr
khodni men  lel nabeul vendredi maghreb,nabeul,,vendredi,maghreb
nemchi monastir lyoum soir,monastir,gare,lyoum,soir
I need a taxi to bizerte next tuesday asr,bizerte,gare,next tuesday,asr
I need a taxi to tunis el-jemaa après-midi,tunis,,el-jemaa,après-midi
take me from  to bizerte vendredi soir,bizerte,,vendredi,soir
I need a taxi to bizerte vendredi sbeh,bizerte,maison,vendredi,sbeh
أريد الذهاب إلى bizerte lundi dhuhr,bizerte,hotel,lundi,dhuhr
أريد الذهاب إلى kairouan lundi après-midi,kairouan,bureau,lundi,après-midi
aller à sfax mercredi asr,sfax,bureau,mercredi,asr
take me from hotel to kairouan el-lahad now,kairouan,hotel,el-lahad,now
أريد الذهاب إلى nabeul mercredi leyl,nabeul,hotel,mercredi,leyl
khodni men bureau lel sfax next tuesday dhuhr,sfax,bureau,next tuesday,dhuhr
I need a taxi to bizerte lundi matin,bizerte,,lundi,matin
I need a taxi to bizerte el-talata asr,bizerte,bureau,el-talata,asr
